127.0.0.1 - - [03/Feb/2020:16:19:07 -0800] "GET / HTTP/1.1" 404 705
0:0:0:0:0:0:0:1 - - [03/Feb/2020:16:19:10 -0800] "GET /HPlusSample/ HTTP/1.1" 200 13728
0:0:0:0:0:0:0:1 - - [03/Feb/2020:16:19:10 -0800] "GET /HPlusSample/css/style.css HTTP/1.1" 200 12660
0:0:0:0:0:0:0:1 - - [03/Feb/2020:16:19:10 -0800] "GET /HPlusSample/images/hpluslogo.svg HTTP/1.1" 200 3271
0:0:0:0:0:0:0:1 - - [03/Feb/2020:16:19:10 -0800] "GET /HPlusSample/images/products/vitamin-a.jpg HTTP/1.1" 200 69638
0:0:0:0:0:0:0:1 - - [03/Feb/2020:16:19:10 -0800] "GET /HPlusSample/images/products/vitamin-bcomplex.jpg HTTP/1.1" 200 71372
0:0:0:0:0:0:0:1 - - [03/Feb/2020:16:19:10 -0800] "GET /HPlusSample/images/products/mineralwater-blueberry.jpg HTTP/1.1" 200 93827
0:0:0:0:0:0:0:1 - - [03/Feb/2020:16:19:10 -0800] "GET /HPlusSample/images/products/proteinbar-chocolate.jpg HTTP/1.1" 200 188431
0:0:0:0:0:0:0:1 - - [03/Feb/2020:16:19:10 -0800] "GET /HPlusSample/images/products/vitamin-c.jpg HTTP/1.1" 200 70233
0:0:0:0:0:0:0:1 - - [03/Feb/2020:16:19:10 -0800] "GET /HPlusSample/images/products/vitamin-calcium.jpg HTTP/1.1" 200 69571
0:0:0:0:0:0:0:1 - - [03/Feb/2020:16:19:10 -0800] "GET /HPlusSample/images/products/vitamin-d.jpg HTTP/1.1" 200 69302
0:0:0:0:0:0:0:1 - - [03/Feb/2020:16:19:10 -0800] "GET /HPlusSample/images/products/vitamin-flaxseed-oil.jpg HTTP/1.1" 200 69979
0:0:0:0:0:0:0:1 - - [03/Feb/2020:16:19:10 -0800] "GET /HPlusSample/images/products/vitamin-iron.jpg HTTP/1.1" 200 70118
0:0:0:0:0:0:0:1 - - [03/Feb/2020:16:19:10 -0800] "GET /HPlusSample/images/products/vitamin-magnesium.jpg HTTP/1.1" 200 69019
0:0:0:0:0:0:0:1 - - [03/Feb/2020:16:19:10 -0800] "GET /HPlusSample/images/products/mineralwater-lemonlime.jpg HTTP/1.1" 200 86780
0:0:0:0:0:0:0:1 - - [03/Feb/2020:16:19:10 -0800] "GET /HPlusSample/images/products/vitamin-multi.jpg HTTP/1.1" 200 67796
0:0:0:0:0:0:0:1 - - [03/Feb/2020:16:19:10 -0800] "GET /HPlusSample/images/products/proteinbar-peanutbutter.jpg HTTP/1.1" 200 184327
0:0:0:0:0:0:0:1 - - [03/Feb/2020:16:19:10 -0800] "GET /HPlusSample/images/products/mineralwater-strawberry.jpg HTTP/1.1" 200 96251
0:0:0:0:0:0:0:1 - - [03/Feb/2020:16:19:10 -0800] "GET /HPlusSample/images/products/proteinbar-lemon.jpg HTTP/1.1" 200 149302
0:0:0:0:0:0:0:1 - - [03/Feb/2020:16:19:10 -0800] "GET /HPlusSample/images/products/mineralwater-orange.jpg HTTP/1.1" 200 88543
0:0:0:0:0:0:0:1 - - [03/Feb/2020:16:19:10 -0800] "GET /HPlusSample/images/products/mineralwater-peach.jpg HTTP/1.1" 200 79102
0:0:0:0:0:0:0:1 - - [03/Feb/2020:16:19:10 -0800] "GET /HPlusSample/images/products/mineralwater-raspberry.jpg HTTP/1.1" 200 88567
0:0:0:0:0:0:0:1 - - [03/Feb/2020:16:19:10 -0800] "GET /HPlusSample/images/employees/JessicaNewton.jpg HTTP/1.1" 200 33119
0:0:0:0:0:0:0:1 - - [03/Feb/2020:16:19:10 -0800] "GET /HPlusSample/images/employees/HenryTwill.jpg HTTP/1.1" 200 59000
0:0:0:0:0:0:0:1 - - [03/Feb/2020:16:19:10 -0800] "GET /HPlusSample/images/employees/MariaSontas.jpg HTTP/1.1" 200 57976
0:0:0:0:0:0:0:1 - - [03/Feb/2020:16:19:10 -0800] "GET /HPlusSample/images/employees/AngelaHaston.jpg HTTP/1.1" 200 65419
0:0:0:0:0:0:0:1 - - [03/Feb/2020:16:19:10 -0800] "GET /HPlusSample/images/employees/MichaelLewiston.jpg HTTP/1.1" 200 72804
0:0:0:0:0:0:0:1 - - [03/Feb/2020:16:19:10 -0800] "GET /HPlusSample/images/employees/PhiTang.jpg HTTP/1.1" 200 67567
0:0:0:0:0:0:0:1 - - [03/Feb/2020:16:19:13 -0800] "GET /HPlusSample/images/backgrounds/running.jpg HTTP/1.1" 200 152503
0:0:0:0:0:0:0:1 - - [03/Feb/2020:16:19:13 -0800] "GET /HPlusSample/images/backgrounds/discthrower.jpg HTTP/1.1" 200 154239
0:0:0:0:0:0:0:1 - - [03/Feb/2020:16:19:13 -0800] "GET /HPlusSample/images/backgrounds/swimming.jpg HTTP/1.1" 200 231759
0:0:0:0:0:0:0:1 - - [03/Feb/2020:16:19:13 -0800] "GET /HPlusSample/images/backgrounds/cycling.jpg HTTP/1.1" 200 277290
0:0:0:0:0:0:0:1 - - [03/Feb/2020:16:19:13 -0800] "GET /HPlusSample/images/backgrounds/soccer.jpg HTTP/1.1" 200 86343
0:0:0:0:0:0:0:1 - - [03/Feb/2020:16:19:22 -0800] "GET /HPlusSample/login HTTP/1.1" 200 2427
